"Info",""
"Dataset","BreastCancer"
"Learner","classif.glmnet.tuned"
"ElapsedTime(secs)","23.23726"
"RandomSeed","123"
"Recall","10"
"IterationsPerFold","50"

"ParamSet","Type","Length","Lower","Upper","Value","Trafo"
"alpha","numeric",1,0,1,"-","-"
"s","numeric",1,0,0.778504234998517,"-","-"

"Best params","alpha","s"
1,0.150095802084526,2.49612230118612
2,0.106800397907962,1.27164837573267
3,0.0527652800025368,1.26835984344003

"Measure","Statistic","Mean","Std","Fold1","Fold2","Fold3"
"auc","Outer train",0.99,0,0.99,0.99,0.99
"auc","Outer test",0.99,0,1,0.99,0.99
"auc","Outer train - outer test",0,0,0,0,0
"auc","Inner test",0.99,0,0.99,0.99,0.99
"auc","Inner test - outer test",0,0,0,0,0
"pr10","Outer train",1,0,1,1,1
"pr10","Outer test",1,0,1,1,1
"pr10","Outer train - outer test",0,0,0,0,0
"pr10","Inner test",1,0,1,1,1
"pr10","Inner test - outer test",0,0,0,0,0

