Info,,,,,,
Dataset,BreastCancer,,,,,
Learner,classif.glmnet.tuned,,,,,
ElapsedTime(secs),23.23726,,,,,
RandomSeed,123,,,,,
Recall,10,,,,,
IterationsPerFold,50,,,,,
,,,,,,
ParamSet,Type,Length,Lower,Upper,Value,Trafo
alpha,numeric,1,0,1,-,-
s,numeric,1,0,0.778504235,-,-
,,,,,,
Best params,alpha,s,,,,
1,0.150095802,2.496122301,,,,
2,0.106800398,1.271648376,,,,
3,0.05276528,1.268359843,,,,
,,,,,,
Measure,Statistic,Mean,Std,Fold1,Fold2,Fold3
auc,Outer train,0.99347,0.00035,0.99309,0.99355,0.99379
auc,Outer test,0.99449,0.00073,0.99527,0.9944,0.99381
auc,Outer train - outer test,-0.00102,0.00109,-0.00218,-0.00085,-2.00E-05
auc,Inner test,0.99184,0.00082,0.99263,0.99189,0.991
auc,Inner test - outer test,-0.00266,0.00015,-0.00264,-0.00251,-0.00281
pr10,Outer train,1,0,1,1,1
pr10,Outer test,1,0,1,1,1
pr10,Outer train - outer test,0,0,0,0,0
pr10,Inner test,1,0,1,1,1
pr10,Inner test - outer test,0,0,0,0,0
